"ORDRE","NOM","GENERE","ANY","FREQ‹»NCIA"
1,"LAURA","Dona",1996,237
2,"MARIA","Dona",1996,219
3,"MARTA","Dona",1996,206
4,"ANDREA","Dona",1996,199
5,"ANNA","Dona",1996,195
6,"PAULA","Dona",1996,186
7,"ALBA","Dona",1996,142
8,"SARA","Dona",1996,125
9,"LAIA","Dona",1996,123
10,"CLAUDIA","Dona",1996,122
11,"JULIA","Dona",1996,115
12,"CARLA","Dona",1996,112
13,"MIREIA","Dona",1996,112
14,"MARINA","Dona",1996,102
15,"CRISTINA","Dona",1996,99
16,"CLARA","Dona",1996,89
17,"JUDITH","Dona",1996,80
18,"ARIADNA","Dona",1996,78
19,"NURIA","Dona",1996,72
20,"PATRICIA","Dona",1996,71
21,"RAQUEL","Dona",1996,69
22,"ANA","Dona",1996,65
23,"IRENE","Dona",1996,64
24,"JUDIT","Dona",1996,63
25,"SANDRA","Dona",1996,55
1,"MARIA","Dona",1997,241
2,"LAURA","Dona",1997,229
3,"MARTA","Dona",1997,211
4,"ANDREA","Dona",1997,209
5,"PAULA","Dona",1997,205
6,"LAIA","Dona",1997,158
7,"ANNA","Dona",1997,146
8,"ALBA","Dona",1997,134
9,"JULIA","Dona",1997,132
10,"CARLA","Dona",1997,118
11,"CLAUDIA","Dona",1997,106
12,"CRISTINA","Dona",1997,105
13,"SARA","Dona",1997,97
14,"IRENE","Dona",1997,96
15,"ARIADNA","Dona",1997,90
16,"MIREIA","Dona",1997,90
17,"CLARA","Dona",1997,83
18,"NURIA","Dona",1997,83
19,"MARINA","Dona",1997,81
20,"JUDITH","Dona",1997,72
21,"JUDIT","Dona",1997,71
22,"RAQUEL","Dona",1997,67
23,"BERTA","Dona",1997,66
24,"MAR","Dona",1997,64
25,"SANDRA","Dona",1997,64
1,"MARIA","Dona",1998,265
2,"LAURA","Dona",1998,202
3,"PAULA","Dona",1998,175
4,"MARTA","Dona",1998,166
5,"ANDREA","Dona",1998,161
6,"ANNA","Dona",1998,149
7,"LAIA","Dona",1998,148
8,"JULIA","Dona",1998,124
9,"CARLA","Dona",1998,119
10,"CLAUDIA","Dona",1998,110
11,"MARINA","Dona",1998,107
12,"SARA","Dona",1998,102
13,"ALBA","Dona",1998,101
14,"MIREIA","Dona",1998,98
15,"CRISTINA","Dona",1998,96
16,"CLARA","Dona",1998,95
17,"IRENE","Dona",1998,82
18,"NURIA","Dona",1998,77
19,"ANA","Dona",1998,71
20,"BERTA","Dona",1998,68
21,"ARIADNA","Dona",1998,63
22,"JUDIT","Dona",1998,63
23,"SANDRA","Dona",1998,57
24,"AINA","Dona",1998,54
25,"MAR","Dona",1998,50
1,"MARIA","Dona",1999,299
2,"LAURA","Dona",1999,209
3,"PAULA","Dona",1999,207
4,"ANDREA","Dona",1999,187
5,"MARTA","Dona",1999,182
6,"ANNA","Dona",1999,141
7,"LAIA","Dona",1999,132
8,"CARLA","Dona",1999,128
9,"JULIA","Dona",1999,120
10,"MARINA","Dona",1999,116
11,"ALBA","Dona",1999,113
12,"SARA","Dona",1999,106
13,"CLAUDIA","Dona",1999,97
14,"CRISTINA","Dona",1999,93
15,"ARIADNA","Dona",1999,92
16,"MIREIA","Dona",1999,91
17,"NURIA","Dona",1999,84
18,"BERTA","Dona",1999,78
19,"ANA","Dona",1999,69
20,"CLARA","Dona",1999,69
21,"IRENE","Dona",1999,68
22,"MAR","Dona",1999,68
23,"AINA","Dona",1999,65
24,"SANDRA","Dona",1999,64
25,"HELENA","Dona",1999,62
1,"MARIA","Dona",2000,268
2,"LAURA","Dona",2000,222
3,"PAULA","Dona",2000,221
4,"ANNA","Dona",2000,180
5,"ANDREA","Dona",2000,162
6,"MARTA","Dona",2000,157
7,"JULIA","Dona",2000,144
8,"ALBA","Dona",2000,137
9,"CARLA","Dona",2000,137
10,"LAIA","Dona",2000,132
11,"SARA","Dona",2000,118
12,"CLAUDIA","Dona",2000,117
13,"MARINA","Dona",2000,116
14,"MIREIA","Dona",2000,111
15,"CRISTINA","Dona",2000,86
16,"BERTA","Dona",2000,84
17,"CLARA","Dona",2000,82
18,"ARIADNA","Dona",2000,78
19,"ANA","Dona",2000,72
20,"NATALIA","Dona",2000,63
21,"NURIA","Dona",2000,62
22,"HELENA","Dona",2000,61
23,"IRENE","Dona",2000,55
24,"CARLOTA","Dona",2000,54
25,"EMMA","Dona",2000,54
1,"MARIA","Dona",2001,243
2,"PAULA","Dona",2001,187
3,"LAURA","Dona",2001,175
4,"MARTA","Dona",2001,157
5,"CARLA","Dona",2001,153
6,"ANNA","Dona",2001,152
7,"LAIA","Dona",2001,143
8,"JULIA","Dona",2001,138
9,"ALBA","Dona",2001,131
10,"ANDREA","Dona",2001,129
11,"CLAUDIA","Dona",2001,120
12,"SARA","Dona",2001,114
13,"MIREIA","Dona",2001,104
14,"MARINA","Dona",2001,98
15,"ANA","Dona",2001,83
16,"CRISTINA","Dona",2001,78
17,"BERTA","Dona",2001,76
18,"CLARA","Dona",2001,72
19,"NURIA","Dona",2001,71
20,"ARIADNA","Dona",2001,67
21,"AINA","Dona",2001,65
22,"JUDITH","Dona",2001,61
23,"IRENE","Dona",2001,57
24,"CARLOTA","Dona",2001,54
25,"NEREA","Dona",2001,53
1,"MARIA","Dona",2002,243
2,"PAULA","Dona",2002,197
3,"MARTA","Dona",2002,162
4,"LAURA","Dona",2002,161
5,"ALBA","Dona",2002,147
6,"CARLA","Dona",2002,142
7,"LAIA","Dona",2002,137
8,"JULIA","Dona",2002,134
9,"ANNA","Dona",2002,132
10,"CLAUDIA","Dona",2002,124
11,"ANDREA","Dona",2002,117
12,"SARA","Dona",2002,105
13,"LUCIA","Dona",2002,100
14,"MARINA","Dona",2002,98
15,"MIREIA","Dona",2002,96
16,"ARIADNA","Dona",2002,92
17,"CLARA","Dona",2002,81
18,"AINA","Dona",2002,80
19,"NURIA","Dona",2002,71
20,"CARLOTA","Dona",2002,70
21,"MARTINA","Dona",2002,65
22,"BERTA","Dona",2002,63
23,"MAR","Dona",2002,63
24,"CRISTINA","Dona",2002,62
25,"NEREA","Dona",2002,62
1,"MARIA","Dona",2003,196
2,"PAULA","Dona",2003,192
3,"CARLA","Dona",2003,165
4,"LAIA","Dona",2003,158
5,"LAURA","Dona",2003,148
6,"ALBA","Dona",2003,135
7,"ANNA","Dona",2003,135
8,"MARTA","Dona",2003,131
